,CC,CS,DC,DD,DS,SD,SS
CC,0.0,0.023448808345691494,0.8191508555699912,0.8191508555699912,0.0937502539598313,0.05218140045705777,0.7016579425162728
CS,0.023448808345691494,0.0,0.29393410760025185,0.29393410760025185,0.013697326615325611,0.013697326615325611,0.5345092286010408
DC,0.8191508555699912,0.29393410760025185,0.0,0.0,0.14823116148116158,0.6445115810207203,0.6445115810207203
DD,0.8191508555699912,0.29393410760025185,0.0,0.0,0.14823116148116158,0.6445115810207203,0.6445115810207203
DS,0.0937502539598313,0.013697326615325611,0.14823116148116158,0.14823116148116158,0.0,0.11939237342741099,0.3373683110858241
SD,0.05218140045705777,0.013697326615325611,0.6445115810207203,0.6445115810207203,0.11939237342741099,0.0,0.29393410760025185
SS,0.7016579425162728,0.5345092286010408,0.6445115810207203,0.6445115810207203,0.3373683110858241,0.29393410760025185,0.0
