,CC,CS,DC,DD,DS,SD,SS
CC,1.0,1.0,0.8434347122457899,0.8434347122457899,0.8434347122457899,0.12049067317796996,0.12049067317796996
CS,1.0,1.0,0.8434347122457899,0.8434347122457899,0.8434347122457899,0.12049067317796996,0.12049067317796996
DC,0.8434347122457898,0.8434347122457898,1.0,1.0,1.0,0.19047619047619052,0.19047619047619052
DD,0.8434347122457898,0.8434347122457898,1.0,1.0,1.0,0.19047619047619052,0.19047619047619052
DS,0.8434347122457898,0.8434347122457898,1.0,1.0,1.0,0.19047619047619052,0.19047619047619052
SD,0.12049067317796998,0.12049067317796998,0.19047619047619052,0.19047619047619052,0.19047619047619052,1.0,1.0
SS,0.12049067317796998,0.12049067317796998,0.19047619047619052,0.19047619047619052,0.19047619047619052,1.0,1.0
