,CC,CS,DC,DD,DS,SD,SS
CC,1.0,-0.8214285714285715,-0.10714285714285716,-0.10714285714285716,-0.6785714285714287,0.7500000000000002,0.1785714285714286
CS,-0.8214285714285715,1.0,0.4642857142857144,0.4642857142857144,0.8571428571428573,-0.8571428571428573,-0.28571428571428575
DC,-0.10714285714285716,0.4642857142857144,1.0,1.0,0.6071428571428572,-0.21428571428571433,-0.21428571428571433
DD,-0.10714285714285716,0.4642857142857144,1.0,1.0,0.6071428571428572,-0.21428571428571433,-0.21428571428571433
DS,-0.6785714285714287,0.8571428571428573,0.6071428571428572,0.6071428571428572,1.0,-0.642857142857143,-0.42857142857142866
SD,0.7500000000000002,-0.8571428571428573,-0.21428571428571433,-0.21428571428571433,-0.642857142857143,1.0,0.4642857142857144
SS,0.1785714285714286,-0.28571428571428575,-0.21428571428571433,-0.21428571428571433,-0.42857142857142866,0.4642857142857144,1.0
