,CC,CS,DC,DD,DS,SD,SS
CC,0.0,0.0,0.00850323414517925,0.00850323414517925,0.00850323414517925,0.7762570690924105,0.7762570690924105
CS,0.0,0.0,0.00850323414517925,0.00850323414517925,0.00850323414517925,0.7762570690924105,0.7762570690924105
DC,0.008503234145179268,0.008503234145179268,0.0,0.0,0.0,0.6514014957024813,0.6514014957024813
DD,0.008503234145179268,0.008503234145179268,0.0,0.0,0.0,0.6514014957024813,0.6514014957024813
DS,0.008503234145179268,0.008503234145179268,0.0,0.0,0.0,0.6514014957024813,0.6514014957024813
SD,0.7762570690924105,0.7762570690924105,0.6514014957024813,0.6514014957024813,0.6514014957024813,0.0,0.0
SS,0.7762570690924105,0.7762570690924105,0.6514014957024813,0.6514014957024813,0.6514014957024813,0.0,0.0
